,Classifier,Umap - 10,Train,Test,accuracy - mean,accuracy - std,f1 score (weighted) - mean,f1 score (weighted) - std,f1-score - mean - sit,f1-score - mean - stand,f1-score - mean - walk,f1-score - mean - stair up,f1-score - mean - stair down,f1-score - mean - run,f1-score - mean - stair up and down,f1-score - std - sit,f1-score - std - stand,f1-score - std - walk,f1-score - std - stair up,f1-score - std - stair down,f1-score - std - run,f1-score - std - stair up and down,precision - mean - sit,precision - mean - stand,precision - mean - walk,precision - mean - stair up,precision - mean - stair down,precision - mean - run,precision - mean - stair up and down,precision - std - sit,precision - std - stand,precision - std - walk,precision - std - stair up,precision - std - stair down,precision - std - run,precision - std - stair up and down,recall - mean - sit,recall - mean - stand,recall - mean - walk,recall - mean - stair up,recall - mean - stair down,recall - mean - run,recall - mean - stair up and down,recall - std - sit,recall - std - stand,recall - std - walk,recall - std - stair up,recall - std - stair down,recall - std - run,recall - std - stair up and down,support - mean - sit,support - mean - stand,support - mean - walk,support - mean - stair up,support - mean - stair down,support - mean - run,support - mean - stair up and down,support - std - sit,support - std - stand,support - std - walk,support - std - stair up,support - std - stair down,support - std - run,support - std - stair up and down
3577,SVC,"['KuHar', 'UCI']","['MotionSense', 'ExtraSensory', 'WISDM', 'UCI']",KuHar,0.5813008130081301,0.0,0.5736915123355802,0.0,0.6285714285714286,0.33898305084745767,0.5945945945945947,0.46666666666666673,0.5333333333333332,0.8800000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,,0.515625,0.5555555555555556,0.4714285714285714,0.7368421052631579,0.5882352941176471,0.9705882352941176,,0.0,0.0,0.0,0.0,0.0,0.0,,0.8048780487804879,0.24390243902439024,0.8048780487804879,0.34146341463414637,0.4878048780487805,0.8048780487804879,,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
3578,KNN,"['KuHar', 'UCI']","['MotionSense', 'ExtraSensory', 'WISDM', 'UCI']",KuHar,0.516260162601626,0.0,0.5231167758151896,0.0,0.6105263157894738,0.463768115942029,0.5242718446601943,0.21276595744680848,0.4473684210526316,0.8800000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,,0.5370370370370371,0.5714285714285714,0.43548387096774194,0.8333333333333334,0.4857142857142857,0.9705882352941176,,0.0,0.0,0.0,0.0,0.0,0.0,,0.7073170731707317,0.3902439024390244,0.6585365853658537,0.12195121951219512,0.4146341463414634,0.8048780487804879,,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
3579,RandomForest,"['KuHar', 'UCI']","['MotionSense', 'ExtraSensory', 'WISDM', 'UCI']",MotionSense,0.7846153846153846,0.002834722043038793,0.8101875083979724,0.002372324546590916,0.8463284139980697,0.822243012882123,0.8808577210556201,0.6260679096253949,0.7174815753811435,0.9681464174454828,,0.005211296806669043,0.00603009206537262,0.00489216205888448,0.0111589152862683,0.00692497590091494,0.0012071651090342695,,0.79573084570171,0.8848874150057181,0.8024461397306932,0.9410496227323175,0.8996103517902384,0.9439763488543976,,0.004971166620550323,0.009818994921694335,0.00538026960218467,0.00916605664484596,0.006014229919219614,0.0022912047302290793,,0.903846153846154,0.767948717948718,0.9762820512820513,0.46923076923076923,0.5967948717948717,0.9935897435897438,,0.008600261451922263,0.006904057445044254,0.006442227962256988,0.013074409009212263,0.01051360222234406,2.220446049250313e-16,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
3580,SVC,"['KuHar', 'UCI']","['MotionSense', 'ExtraSensory', 'WISDM', 'UCI']",MotionSense,0.6175213675213675,0.0,0.619199801621494,0.0,0.7962962962962962,0.777408637873754,0.7761194029850748,0.0,0.3966244725738397,0.96875,,0.0,0.0,0.0,0.0,0.0,0.0,,0.7678571428571429,0.8068965517241379,0.7262569832402235,0.0,0.5802469135802469,0.9451219512195121,,0.0,0.0,0.0,0.0,0.0,0.0,,0.8269230769230769,0.75,0.8333333333333334,0.0,0.30128205128205127,0.9935897435897436,,0.0,0.0,0.0,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
3581,KNN,"['KuHar', 'UCI']","['MotionSense', 'ExtraSensory', 'WISDM', 'UCI']",MotionSense,0.7542735042735043,0.0,0.7817961873363014,0.0,0.8292682926829267,0.8108108108108107,0.8562874251497005,0.6101694915254238,0.6274509803921569,0.9567901234567902,,0.0,0.0,0.0,0.0,0.0,0.0,,0.7906976744186046,0.8571428571428571,0.8033707865168539,0.9,0.8080808080808081,0.9226190476190477,,0.0,0.0,0.0,0.0,0.0,0.0,,0.8717948717948718,0.7692307692307693,0.9166666666666666,0.46153846153846156,0.5128205128205128,0.9935897435897436,,0.0,0.0,0.0,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
3582,RandomForest,"['KuHar', 'UCI']","['MotionSense', 'ExtraSensory', 'WISDM', 'UCI']",WISDM,0.7099619508820477,0.0016316120947866871,0.7428862528096171,0.0016026613920942375,0.7466983416506874,0.6948654764086645,0.7512275919407442,,,0.9639500117828176,0.5371124633157892,0.0009341459571689795,0.003846808922702831,0.0024188176172671495,,,0.000749106614127118,0.007454643294162849,0.7116374823854279,0.716055746879359,0.8300442646349302,,,0.9717537968818022,0.7517300682054676,0.003352705261791283,0.0021838118819736633,0.004117291763315183,,,0.0008281324605499821,0.006331330504146547,0.7854237288135593,0.6749152542372882,0.6861016949152542,,,0.9562711864406779,0.4178907721280602,0.0033213420241127766,0.006148595643124418,0.0036978685134358208,,,0.0010169491525423568,0.008566150972161336,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
3583,SVC,"['KuHar', 'UCI']","['MotionSense', 'ExtraSensory', 'WISDM', 'UCI']",WISDM,0.6755447941888619,0.0,0.7062174315655282,0.0,0.6855828220858896,0.571945701357466,0.7595884003741815,,,0.9677980852915578,0.5283893395133256,0.0,0.0,0.0,,,0.0,0.0,0.6260504201680672,0.6135922330097088,0.8475991649269311,,,0.9946332737030411,0.6867469879518072,0.0,0.0,0.0,,,0.0,0.0,0.7576271186440678,0.535593220338983,0.688135593220339,,,0.9423728813559322,0.4293785310734463,0.0,0.0,0.0,,,0.0,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
3584,KNN,"['KuHar', 'UCI']","['MotionSense', 'ExtraSensory', 'WISDM', 'UCI']",WISDM,0.6828087167070218,0.0,0.7161903425026265,0.0,0.7144019528071603,0.6632213608957794,0.7245283018867925,,,0.9615713065755764,0.49512195121951214,0.0,0.0,0.0,,,0.0,0.0,0.6870109546165885,0.6742556917688266,0.8170212765957446,,,0.9690189328743546,0.7024221453287197,0.0,0.0,0.0,,,0.0,0.0,0.7440677966101695,0.652542372881356,0.6508474576271186,,,0.9542372881355933,0.3822975517890772,0.0,0.0,0.0,,,0.0,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
3585,RandomForest,"['KuHar', 'UCI']","['MotionSense', 'ExtraSensory', 'WISDM', 'UCI']",UCI,0.7329359165424739,0.0058026594139886185,0.7324208327286641,0.005964889786270616,0.6071071463267602,0.5775934650137675,0.9173062269063296,0.7829418811997622,0.8043259115691168,,,0.009416427346091967,0.011100042781358862,0.003456377706783889,0.006756946190948991,0.005546653816793543,,,0.5985556546405346,0.5866951167209209,0.8777434701828236,0.8181113004342876,0.8111916615023219,,,0.009547380996528354,0.010231435493271024,0.006342494662230266,0.004405184715057163,0.007538118709542209,,,0.6159722222222224,0.568840579710145,0.9606299212598424,0.7507352941176471,0.7976190476190477,,,0.011219093348196874,0.01345954755145415,1.1102230246251565e-16,0.010630023746177138,0.00639861726055443,,,144.0,138.0,127.0,136.0,126.0,,,0.0,0.0,0.0,0.0,0.0,,
3586,SVC,"['KuHar', 'UCI']","['MotionSense', 'ExtraSensory', 'WISDM', 'UCI']",UCI,0.6154992548435171,0.0,0.5848879279383441,0.0,0.6137566137566137,0.21505376344086022,0.917910447761194,0.6241134751773049,0.5789473684210527,,,0.0,0.0,0.0,0.0,0.0,,,0.49572649572649574,0.4166666666666667,0.8723404255319149,0.6027397260273972,0.6470588235294118,,,0.0,0.0,0.0,0.0,0.0,,,0.8055555555555556,0.14492753623188406,0.968503937007874,0.6470588235294118,0.5238095238095238,,,0.0,0.0,0.0,0.0,0.0,,,144.0,138.0,127.0,136.0,126.0,,,0.0,0.0,0.0,0.0,0.0,,
