,Classifier,Umap - 10,Train,Test,accuracy - mean,accuracy - std,f1 score (weighted) - mean,f1 score (weighted) - std,f1-score - mean - sit,f1-score - mean - stand,f1-score - mean - walk,f1-score - mean - stair up,f1-score - mean - stair down,f1-score - mean - run,f1-score - mean - stair up and down,f1-score - std - sit,f1-score - std - stand,f1-score - std - walk,f1-score - std - stair up,f1-score - std - stair down,f1-score - std - run,f1-score - std - stair up and down,precision - mean - sit,precision - mean - stand,precision - mean - walk,precision - mean - stair up,precision - mean - stair down,precision - mean - run,precision - mean - stair up and down,precision - std - sit,precision - std - stand,precision - std - walk,precision - std - stair up,precision - std - stair down,precision - std - run,precision - std - stair up and down,recall - mean - sit,recall - mean - stand,recall - mean - walk,recall - mean - stair up,recall - mean - stair down,recall - mean - run,recall - mean - stair up and down,recall - std - sit,recall - std - stand,recall - std - walk,recall - std - stair up,recall - std - stair down,recall - std - run,recall - std - stair up and down,support - mean - sit,support - mean - stand,support - mean - walk,support - mean - stair up,support - mean - stair down,support - mean - run,support - mean - stair up and down,support - std - sit,support - std - stand,support - std - walk,support - std - stair up,support - std - stair down,support - std - run,support - std - stair up and down
586,SVC,['KuHar'],"['KuHar', 'ExtraSensory', 'UCI']",UCI,0.6274217585692996,0.0,0.5538407877071762,0.0,0.0,0.655581947743468,0.9277566539923955,0.657439446366782,0.5866666666666667,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.4876325088339223,0.8970588235294118,0.6209150326797386,0.6666666666666666,,,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.9606299212598425,0.6985294117647058,0.5238095238095238,,,0.0,0.0,0.0,0.0,0.0,,,144.0,138.0,127.0,136.0,126.0,,,0.0,0.0,0.0,0.0,0.0,,
587,KNN,['KuHar'],"['KuHar', 'ExtraSensory', 'UCI']",UCI,0.7377049180327869,0.0,0.7364820749150716,0.0,0.6460481099656358,0.6204379562043795,0.9132075471698112,0.7636363636363636,0.759493670886076,,,0.0,0.0,0.0,0.0,0.0,,,0.6394557823129252,0.625,0.8768115942028986,0.7553956834532374,0.8108108108108109,,,0.0,0.0,0.0,0.0,0.0,,,0.6527777777777778,0.6159420289855072,0.952755905511811,0.7720588235294118,0.7142857142857143,,,0.0,0.0,0.0,0.0,0.0,,,144.0,138.0,127.0,136.0,126.0,,,0.0,0.0,0.0,0.0,0.0,,
588,RandomForest,['KuHar'],"['KuHar', 'WISDM', 'UCI']",KuHar,0.75,0.006097560975609773,0.7534508354155685,0.006550896001415279,0.7983076504578713,0.710111079641942,0.7391304347826086,0.6699805168265085,0.6836360279820196,0.9195393028024608,,0.00863088145919367,0.013911021054410323,0.0,0.013163374546049787,0.01364358740965747,0.009953168427599001,,0.6931295693954496,0.9099346764346764,0.6666666666666667,0.7015272762641185,0.7169292166660588,1.0,,0.008774009508823927,0.027243329371530546,1.1102230246251565e-16,0.014132224006178229,0.017546954415383627,0.0,,0.9414634146341463,0.5829268292682925,0.8292682926829269,0.6414634146341462,0.6536585365853658,0.8512195121951219,,0.01951219512195119,0.020260058202239188,1.1102230246251565e-16,0.019049389453430883,0.018251987252555828,0.017073170731707332,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
589,SVC,['KuHar'],"['KuHar', 'WISDM', 'UCI']",KuHar,0.6707317073170732,0.0,0.6681224533446959,0.0,0.780952380952381,0.6101694915254238,0.5473684210526316,0.5753424657534246,0.5882352941176471,0.9066666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,,0.640625,1.0,0.48148148148148145,0.65625,0.5681818181818182,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.43902439024390244,0.6341463414634146,0.5121951219512195,0.6097560975609756,0.8292682926829268,,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
590,KNN,['KuHar'],"['KuHar', 'WISDM', 'UCI']",KuHar,0.7317073170731707,0.0,0.7399758874534572,0.0,0.7789473684210526,0.6956521739130435,0.7640449438202247,0.6585365853658537,0.6216216216216217,0.9210526315789475,,0.0,0.0,0.0,0.0,0.0,0.0,,0.6851851851851852,0.8571428571428571,0.7083333333333334,0.6585365853658537,0.696969696969697,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.9024390243902439,0.5853658536585366,0.8292682926829268,0.6585365853658537,0.5609756097560976,0.8536585365853658,,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
591,RandomForest,['KuHar'],"['KuHar', 'WISDM', 'UCI']",MotionSense,0.5916666666666667,0.002777777777777768,0.5622812734643597,0.002057001653612134,0.8351729115038028,0.8434656917959277,0.7359324730692496,0.0,0.0,0.9591165644171781,,0.00462543127221927,0.005374686559659489,0.00535990617332177,0.0,0.0,0.0013494701432999019,,0.8561130973544856,0.8227438221066249,0.6381200899371653,0.0,0.0,0.9214479638009051,,0.0075632699230089185,0.006418523824669321,0.0035175002873570663,0.0,0.0,0.002488276395451177,,0.8153846153846154,0.8653846153846153,0.8692307692307691,0.0,0.0,1.0,,0.010649517772971876,0.011102889792108193,0.011176663957796602,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
592,SVC,['KuHar'],"['KuHar', 'WISDM', 'UCI']",MotionSense,0.5737179487179487,0.0,0.5409732162965509,0.0,0.802547770700637,0.7974276527331189,0.6858638743455497,0.0,0.0,0.9600000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,,0.7974683544303798,0.8,0.5796460176991151,0.0,0.0,0.9230769230769231,,0.0,0.0,0.0,0.0,0.0,0.0,,0.8076923076923077,0.7948717948717948,0.8397435897435898,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
593,KNN,['KuHar'],"['KuHar', 'WISDM', 'UCI']",MotionSense,0.5737179487179487,0.0,0.5388091531042861,0.0,0.7760252365930599,0.7687296416938111,0.7567567567567568,0.0,0.0,0.9313432835820895,,0.0,0.0,0.0,0.0,0.0,0.0,,0.7639751552795031,0.7814569536423841,0.6542056074766355,0.0,0.0,0.8715083798882681,,0.0,0.0,0.0,0.0,0.0,0.0,,0.7884615384615384,0.7564102564102564,0.8974358974358975,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
594,RandomForest,['KuHar'],"['KuHar', 'WISDM', 'UCI']",WISDM,0.6963334486336906,0.001826737589278574,0.7292751890594525,0.0019387563791784636,0.731921060378062,0.7167492409757814,0.6630385015072023,,,0.9653193762367188,0.5515780525483917,0.004655041273009093,0.004002479693703783,0.0024042626158594705,,,0.002573442207573911,0.003444010207688288,0.7216440267041291,0.7351292656912609,0.7956913165032904,,,0.9660790774763429,0.6378612723136458,0.004117345604841271,0.005566579919200857,0.0030509820469428912,,,0.005230374861879984,0.005528476814010092,0.7425423728813559,0.6993220338983052,0.5683050847457627,,,0.9645762711864407,0.4858757062146892,0.00785717083830457,0.006485127616850511,0.0030366903164693107,,,0.0009127397978193931,0.003472521452841018,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
595,SVC,['KuHar'],"['KuHar', 'WISDM', 'UCI']",WISDM,0.6620546523694223,0.0,0.6960285294826706,0.0,0.6753883892068684,0.6357969723953696,0.7051039697542533,,,0.9740484429065744,0.4668911335578002,0.0,0.0,0.0,,,0.0,0.0,0.6524486571879937,0.6697936210131332,0.7970085470085471,,,0.9946996466431095,0.5777777777777777,0.0,0.0,0.0,,,0.0,0.0,0.7,0.6050847457627119,0.6322033898305085,,,0.9542372881355933,0.391713747645951,0.0,0.0,0.0,,,0.0,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
